SEI [m]   frc [-]   
1.00000e-11   8.24201e-07 
4.37931e-11   4.07725e-06 
7.75862e-11   1.79931e-05 
1.11379e-10   7.08353e-05 
1.45172e-10   2.48770e-04 
1.78966e-10   7.79383e-04 
2.12759e-10   2.17825e-03 
2.46552e-10   5.43089e-03 
2.80345e-10   1.20792e-02 
3.14138e-10   2.39668e-02 
3.47931e-10   4.24215e-02 
3.81724e-10   6.69834e-02 
4.15517e-10   9.43524e-02 
4.49310e-10   1.18561e-01 
4.83103e-10   1.32904e-01 
5.16897e-10   1.32904e-01 
5.50690e-10   1.18561e-01 
5.84483e-10   9.43524e-02 
6.18276e-10   6.69834e-02 
6.52069e-10   4.24215e-02 
6.85862e-10   2.39668e-02 
7.19655e-10   1.20792e-02 
7.53448e-10   5.43089e-03 
7.87241e-10   2.17825e-03 
8.21034e-10   7.79383e-04 
8.54828e-10   2.48770e-04 
8.88621e-10   7.08353e-05 
9.22414e-10   1.79931e-05 
9.56207e-10   4.07725e-06 
9.90000e-10   8.24201e-07 
